NMHMNPHRMNGLLB-UHFFFAOYSA-N	Hydroxyphenyl Propionic Acid
KKYYLKPGILUPOA-UHFFFAOYSA-N	N-(2,6-dimethylphenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine
HMFHBZSHGGEWLO-LECHCGJUSA-N	Ribose
ZUXABONWMNSFBN-BJUDXGSMSA-N	Clozapine
SXIFAEWFOJETOA-UHFFFAOYSA-N	Butan-1-Ol
BCQMRZRAWHNSBF-UHFFFAOYSA-N	desmethylprodine
PKTHHQZEMUQHQE-WNAAXNPUSA-N	Tetrabutylammonium Ion
MIBROOURCUHKMD-MRKVFDINSA-N	6,7-Dioxo-5h-8-Ribitylaminolumazine
OVXQHPWHMXOFRD-UHFFFAOYSA-M	Echothiophate
ZSHHMDOJMSZOBX-NEPJUHHUSA-N	1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid
ULOTXPTWJAUGGE-MHZLTWQESA-N	3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid
FELGMEQIXOGIFQ-CYBMUJFWSA-N	Ondansetron
OJIPQOWZZMSBGY-UHFFFAOYSA-N	Hyoscyamine
GCZPAJUYLLHQGI-UHFFFAOYSA-N	Domoic Acid
WPFMREYIVCJDKB-BMTUHDIGSA-N	1-O-[P-Nitrophenyl]-Beta-D-Galactopyranose
MNYBEULOKRVZKY-ATCPXPEISA-N	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID
NZUPCNDJBJXXRF-LURJTMIESA-O	Bethanechol
YUZYDHRGGDTZLG-DUXPYHPUSA-N	(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE
AUNGANRZJHBGPY-UHFFFAOYSA-N	Riboflavin
LQXVFWRQNMEDEE-PYHARJCCSA-N	D-Xylulose
UQWLOWFDKAFKAP-WXHSDQCUSA-N	L-PROLINE, 1-[(2S)-3-MERCAPTO-2-METHYL-1-OXOPROPYL]-4-(PHENYLTHIO)-, 4S
HSGJBTDWIMPMON-SNVBAGLBSA-N	4-[4-(2,5-DIOXO-PYRROLIDIN-1-YL)-PHENYLAMINO]-4-HYDROXY-BUTYRIC ACID
GSDSWSVVBLHKDQ-SNVBAGLBSA-N	Dextrofloxacine
SSXCWVOQWRUMGN-UHFFFAOYSA-N	2-(4-(2-((3-(5-(PYRIDIN-2-YLTHIO)THIAZOL-2-YL)UREIDO)METHYL)-1H-IMIDAZOL-4-YL)PHENOXY)ACETIC ACID
JRWZLRBJNMZMFE-ZDUSSCGKSA-N	Dobutamine
MMOPANGYVZBVSN-UHFFFAOYSA-N	3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE
NBYCDVVSYOMFMS-UHFFFAOYSA-N	FKB-001
MEUCPCLKGZSHTA-RHCWOGDZSA-N	Degarelix
BGWGXPAPYGQALX-ARQDHWQXSA-L	Fructose-6-Phosphate
FEQCNUVCYMHUSR-UHFFFAOYSA-N	Beta-Mercaptoethanol
CTRCTIXKCSMDIB-UHFFFAOYSA-N	Phenol
ONAKHYDTKMSIOT-ZHFSPANRSA-N	Stavudine
ZLHKDFYDPCVJTB-VQOZUFGRSA-M	Chlorophyll A
DEQANNDTNATYII-FONLUTBNSA-N	Octreotide
QOVVWXAHWGGPFD-SDWUXNHPSA-N	Digalactosyl Diacyl Glycerol (Dgdg)
HVYWMOMLDIMFJA-LZRBQCDVSA-N	Cholesterol
FMWAXKQEIXRUTI-UHFFFAOYSA-N	Sodium lauryl sulfate
OPVPGKGADVGKTG-BQBZGAKWSA-N	Spaglumic Acid
QNDVLZJODHBUFM-JGAYSDMHSA-N	9,10-Deepithio-9,10-Didehydroacanthifolicin
FWNRILWHNGFAIN-OYUWDNMLSA-N	(6e)-6-[(2e,4e,6e)-3,7-Dimethylnona-2,4,6,8-Tetraenylidene]-1,5,5-Trimethylcyclohexene
ZAQJHHRNXZUBTE-WUJLRWPWSA-N	D-Xylulose
MVSQBIVWDIYFLS-GWUHIZPNSA-N	Chlorophyll A
MQWUTQCRGGBPBT-WIOPSUGQSA-N	N-[(1S)-2-{[(1R)-2-(benzyloxy)-1-cyano-1-methylethyl]amino}-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide
LEMYAXKYCOBYOJ-UHFFFAOYSA-N	Docetaxel
VLJNHYLEOZPXFW-SCSAIBSYSA-N	D-Proline
IOJUPLGTWVMSFF-UHFFFAOYSA-N	BENZOTHIAZOLE
LEOPSILMAOYZBO-IUTAEKPZSA-N	(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL
JDTMNMAQWVSSOO-MRVPVSSYSA-N	(R)-2-(FORMYLOXY)-3-(PHOSPHONOOXY)PROPYL PENTANOATE
HRAPDLBXHOBAKA-LURJTMIESA-N	N-(3-CARBOXYPROPANOYL)-L-NORVALINE
OMOBPCKEHXUTSP-QZQBZXMDSA-N	Cholesterol
BDIDRHMZXLEMIZ-TYDWOXHJSA-N	Oxiranpseudoglucose
NKHUMCIXBRICHV-QNIGDANOSA-N	5-Methyl-5,6,7,8-Tetrahydrofolic Acid
FZNCGRZWXLXZSZ-CIQUZCHMSA-N	Voglibose
PYFRREJCFXFNRR-UHFFFAOYSA-N	PYRIMIDINE-4,6-DICARBOXYLIC ACID BIS-(4-FLUORO-3-METHYL-BENZYLAMIDE)
WLNKGRQBMNPVSJ-UHFFFAOYSA-N	PARA-NITROPHENYLPHOSPHONOBUTANOYL-GLYCINE
PIQVDUKEQYOJNR-RWXTUVLLSA-N	Cocaine
JTWOMNBEOCYFNV-IATRGZMQSA-N	Azlocillin
HOOSGZJRQIVJSZ-UHFFFAOYSA-N	Clidinium
CTPOHARTNNSRSR-APJZLKAGSA-N	Beraprost
DNTGGZPQPQTDQF-XBXARRHUSA-N	Crotamiton
GAGWJHPBXLXJQN-LXGADPQPSA-N	Capecitabine
AGRCPNMCOXLKFO-WNJXEPBRSA-N	Streptozocin
BRPKBUNFOZFULQ-SGAXSIHGSA-N	3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE
AQSNIXKAKUZPSI-SSTWWWIQSA-N	(9BETA,13ALPHA,14BETA,17ALPHA)-2-METHOXYESTRA-1,3,5(10)-TRIENE-3,17-DIYL DISULFAMATE
SYCPYRBWXMHFQR-UHFFFAOYSA-N	Butan-1-Ol
NEDLLNIZNWRDMG-DZSWIPIPSA-N	Citric Acid
HZSAJDVWZRBGIF-UHFFFAOYSA-M	Thiamin Phosphate
MNYDVPDMLAJJPB-UHFFFAOYSA-N	5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine
IVBHGBMCVLDMKU-TUPBYDDQSA-N	Piperacillin
BXZVVICBKDXVGW-RNFRBKRXSA-N	Didanosine
SWXFLSFGFIILFT-UHFFFAOYSA-O	N-Methylmesoporphyrin
NZPAZEPLHDOGOF-UHFFFAOYSA-N	2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE
DFYGLJKFZQGYPA-UHFFFAOYSA-N	2-(3-AMINO-2,5,6-TRIMETHOXYPHENYL)ETHYL 5-CHLORO-2,4-DIHYDROXYBENZOATE
DBCHMAJHGQTWEU-UHFFFAOYSA-N	3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE
QJJXYPPXXYFBGM-CLAWHKJSSA-N	Tacrolimus
BPKJNEIOHOEWLO-RXMQYKEDSA-N	2-Amino-N,3,3-Trimethylbutanamide
HTJXTKBIUVFUAR-GSNOWDBKSA-N	4-Diphosphocytidyl-2-C-Methyl-D-Erythritol 2-Phosphate
BGDKAVGWHJFAGW-MRXNPFEDSA-N	Tropicamide
LWYXFDXUMVEZKS-ZVFOLQIPSA-N	Methysergide
WFPZSXYXPSUOPY-ROYWQJLOSA-N	Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester
XSZQJZYGKSSUAF-UHFFFAOYSA-N	11-[(MERCAPTOCARBONYL)OXY]UNDECANOIC ACID
DRUFOIFJHUQRIY-UHFFFAOYSA-N	Barbituric acid derivative
WJAJPNHVVFWKKL-RDDDGLTNSA-N	Methoxamine
KDFRZGWCOSXMPY-UHFFFAOYSA-O	Fluoresceinylthioureido
RYMZZMVNJRMUDD-LWNGLWLWSA-N	Simvastatin
MMWNOZXGYRPSCJ-LZQZEXGQSA-N	N-{(2S)-3-[(1R)-1-aminoethyl](hydroxy)phosphoryl-2-benzylpropanoyl}-L-phenylalanine
MKXZASYAUGDDCJ-UHFFFAOYSA-N	Dextromethorphan
DNVPQKQSNYMLRS-GPXOQJPDSA-N	Ergosterol
IJFVSSZAOYLHEE-PMERELPUSA-O	Diundecyl Phosphatidyl Choline
MWFRVMDVLYIXJF-BYPYZUCNSA-N	Hydroxyethylcysteine
IWJSQELMWLOYSO-LWSSLDFYSA-N	[4-R-(4-ALPHA,6-BETA,7-BETA]-HEXAHYDRO-5,6-DI(HYDROXY)-1,3-DI(ALLYL)-4,7-BISPHENYLMETHYL)-2H-1,3-DIAZEPINONE
FBBUXQOAAWCXSK-UHFFFAOYSA-N	Bumetanide
PHDOXVGRXXAYEB-VJANTYMQSA-N	Trypanothione
ULGZDMOVFRHVEP-YEPXRZJNSA-N	Erythromycin
FNKXTMAAZRPTDA-APTPAJQOSA-N	Ferricrocin-Iron
IIFVWLUQBAIPMJ-UHFFFAOYSA-N	4-Fluorobenzylamine
CGWSVJZAYXOAFW-XDFGFMNRSA-N	Dinoprost Tromethamine
HMXOGGUFCBUALL-AATRIKPKSA-N	(3E)-4-(2-HYDROXYPHENYL)-2-OXOBUT-3-ENOIC ACID
OMTGKTCRBMDMJC-OAQYLSRUSA-P	1-((1R)-1-(HYDROXYMETHYL)-3-{6-[(3-PHENYLPROPANOYL)AMINO]-1H-INDOL-1-YL}PROPYL)-1H-IMIDAZOLE-4-CARBOXAMIDE
MVPCJBDHTUCOBT-UHFFFAOYSA-N	7-[3-(4-FLUORO-PHENYL)-1-ISOPROPYL-1H-INDOL-2-YL]-3,5-DIHYDROXY-HEPTANOIC ACID
IPBPOBHSNJFRFT-UHFFFAOYSA-N	2-Hydroxy-5-[4-(2-Hydroxy-Ethyl)-Piperidin-1-Yl]-5-Phenyl-1h-Pyrimidine-4,6-Dione
MRBNRGYSDIRFDG-LTVDREEISA-N	Mometasone
RIGZCVNCFXYBEG-UHFFFAOYSA-N	N-(3-CYCLOPROPYL-1H-PYRAZOL-5-YL)-2-(2-NAPHTHYL)ACETAMIDE
IRTONBQROPNEJZ-LMVFSUKVSA-N	1,4-Dideoxy-O2-Sulfo-Glucuronic Acid
ACTRVOBWPAIOHC-XIXRPRMCSA-N	Succimer
OOLYVCHMVVBXFC-ZQJSGIEXSA-N	Myxopyronin B
BWKILASWCLJPBO-IBGZPJMESA-O	L-Alfa-Lysophosphatidylcholine, Lauroyl
YYWGABLTRMRUIT-UHFFFAOYSA-N	Huperzine B
SYNDJDVCAIQKTO-FAINNVMBSA-M	Chlorophyll A
ZKHQWZAMYRWXGA-UHTZMRCNSA-N	Adenosine triphosphate
QGIXWNRQEFVVRM-CTDKCSBDSA-N	(2R)-3-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE
OEYIOHPDSNJKLS-UHFFFAOYSA-N	Oxtriphylline
RHOOHUMOHVIXEF-UHFFFAOYSA-N	4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine
LDEWQRSYYHTQRA-UHFFFAOYSA-N	Indirubin-3'-Monoxime
HXLOHDZQBKCUCR-VTHDOGFWSA-N	TD-5108
JINJZWSZQKHCIP-CUZACWQJSA-N	2-Deoxy-2,3-Dehydro-N-Acetyl-Neuraminic Acid
MJIHNNLFOKEZEW-VWLOTQADSA-N	Lansoprazole
XZNUGFQTQHRASN-HLCQDLENSA-N	Apramycin
YUWPMEXLKGOSBF-GACAOOTBSA-N	anecortave acetate
MITFXPHMIHQXPI-VIFPVBQESA-N	Benoxaprofen
TXWBOBJCRVVBJF-XRMDBSGISA-L	Pipecuronium
HNQSCVPQTCIJPO-YDRNYJDUSA-N	Adenosine
ACEFOQMQINFMRW-DYCFVMESSA-N	2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHENESULFONAMIDE
KGPAYJZAMGEDIQ-UHFFFAOYSA-N	AZD-9684
LRTOHSLOFCWHRF-UHFFFAOYSA-N	Calcium Gluceptate
ZLPUGFBBLGQWBS-SCRDCRAPSA-N	N-Sulfo-Flavin Mononucleotide
BHTRKEVKTKCXOH-UHFFFAOYSA-N	Tauroursodeoxycholic acid
RTXZCZFAAYFFKF-YFKPBYRVSA-N	3-Trimethylsilylsuccinic Acid
DDBREPKUVSBGFI-SBAVNFSASA-N	Phenobarbital
WHGXZPQWZJUGEP-UHFFFAOYSA-N	2-Allylphenol
WLHQHAUOOXYABV-UHFFFAOYSA-N	Lornoxicam
SHZGCJCMOBCMKK-XKTQNOIPSA-N	Alpha-L-Fucose
ZCZNKZIHIDPABN-KVJMLDEESA-N	2'-O-Acetyl Adenosine-5-Diphosphoribose
HOMMEPGVMBJEAM-NWLJNKSNSA-N	5'-Fluoro-5'-Deoxyadenosine
NIPOJNNSFDRMQO-UHFFFAOYSA-N	Delorazepam
WKJGTOYAEQDNIA-QTFRNQDKSA-N	Cefaclor
ZPUCINDJVBIVPJ-LJISPDSOSA-O	Cocaine
JLZLMUJCGNHMFX-XMMPIXPASA-N	L-Alpha-Phosphatidyl-Beta-Oleoyl-Gamma-Palmitoyl-Phosphatidylethanolamine
RUMXMEKDJBMFLU-UHFFFAOYSA-N	Dabigatran etexilate
IVPCTHKPOPQMSX-UHFFFAOYSA-N	9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine
HACJMHVHUFXHFN-SOLYNIJKSA-N	K-252a
HVFLCNVBZFFHBT-ZKDACBOMSA-N	Cefepime
RXRZOKQPANIEDW-KQYNXXCUSA-N	6-O-Phosphoryl Inosine Monophosphate
JLSKPBDKNIXMBS-VIFPVBQESA-N	L-Tryptophanamide
FPIPGXGPPPQFEQ-OVSJKPMPSA-N	Vitamin A
WDDPHFBMKLOVOX-VPRFCXCPSA-N	Clofarabine
RUDATBOHQWOJDD-FZYBITBKSA-N	Ursodeoxycholic acid
GGBJHURWWWLEQH-UHFFFAOYSA-N	Cyclohexyl-Hexyl-Beta-D-Maltoside
WWUPGKDRUIPTRA-OBPDMEEPSA-N	4-(N,N-Dimethylamino)Cinnamoyl-Coa
GLLPUTYLZIKEGF-HAVVHWLPSA-N	Ridogrel
PTFDIQYQBWTALV-FGDNUCQSSA-M	Chlorophyll A
KJNLSEOJEFDELT-JJNLEZRASA-N	Adenosine Phosphonoacetic Acid
RJJLZYZEVNCZIW-UHFFFAOYSA-N	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE
GCZPAJUYLLHQGI-HCEFKKQBSA-N	Domoic Acid
ASIDMJNTHJYVQJ-UHFFFAOYSA-N	Bromo-Dodecanol
HKHPCMBPASXYGP-KVVVOXFISA-N	SR 31747
JHIVVAPYMSGYDF-UHFFFAOYSA-N	Cyclohexanone
ZCGOMHNNNFPNMX-UHFFFAOYSA-N	Levocabastine
XFLVBMBRLSCJAI-ZKWXMUAHSA-N	5-(HEXAHYDRO-2-OXO-1H-THIENO[3,4-D]IMIDAZOL-6-YL)PENTANAL
LPXYBLIRYGCMPQ-UHFFFAOYSA-N	N-Cyclohexyl-N'-Decylurea
IIMSEFZOOYSTDO-UWVGGRQHSA-N	TRANS-(1S,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL
NBCUWPVAOIIUDZ-VURMDHGXSA-N	3-bromo-N'-[(1E)-(3,5-dibromo-2,4-dihydroxyphenyl)methylidene]benzohydrazide
QYSXJUFSXHHAJI-YRZJJWOYSA-N	Cholecalciferol
GHQCCHWTDLTMJT-UHFFFAOYSA-N	3-(3-methoxybenzyl)-1H-pyrrolo[2,3-b]pyridine
OZRNSSUDZOLUSN-LBPRGKRZSA-N	Dihydrofolic Acid
QBYUNVOYXHFVKC-AWCCYIHTSA-N	Tauroursodeoxycholic acid
NCVMTHVSAJMOPI-UHFFFAOYSA-N	2-(CYCLOHEXYLMETHYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE
NSHPHXHGRHSMIK-REYRRORPSA-N	LATRUNCULIN B
ROWKJAVDOGWPAT-GSVOUGTGSA-N	R,3-Hydroxybutan-2-One
STTRYQAGHGJXJJ-LICLKQGHSA-N	Filaminast
GWEJFLVSOGNLSS-WPFOTENUSA-N	TLK-199
BAWFJGJZGIEFAR-NNYOXOHSSA-N	3-Acetylpyridine Adenine Dinucleotide
QEGGFWDIICUSIA-BVHSJJCHSA-M	ATL-2502
FULZLIGZKMKICU-UHFFFAOYSA-N	N-Phenylthiourea
VOXZDWNPVJITMN-ZKXLYKBJSA-N	Estradiol
BGJMKHPWCFXMOW-UHFFFAOYSA-N	REP8839
AKVXSYUWYXOLMY-UHFFFAOYSA-N	Hexafluoroacetone Hydrate
AELCINSCMGFISI-BDAKNGLRSA-N	Trans-2-Phenylcyclopropylamine
XLSZMDLNRCVEIJ-KQORAOOSSA-N	4-Methylimidazole
FDJOLVPMNUYSCM-RKLHWWGLSA-L	Cyanocobalamin
METKIMKYRPQLGS-LBPRGKRZSA-N	Atenolol
FQPGMQABJNQLLF-VKHMYHEASA-N	Canaline
FQRHOOHLUYHMGG-WLHGVMLRSA-N	Acepromazine
IMLJLCJZQLGHJS-JEKSYDDFSA-N	Oxytetracycline
SFLSHLFXELFNJZ-UHFFFAOYSA-N	Norepinephrine
SZINUGQCTHLQAZ-DQYPLSBCSA-N	(6AR,11AS,11BR)-10-ACETYL-9-HYDROXY-7,7-DIMETHYL-2,6,6A,7,11A,11B-HEXAHYDRO-11H-PYRROLO[1',2':2,3]ISOINDOLO[4,5,6-CD]INDOL-11-ONE
QFJCIRLUMZQUOT-KNWWFUJZSA-N	Sirolimus
IOKDMHHZKWLWKO-UHFFFAOYSA-N	N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane
RFOBTYLRURSVJE-UHFFFAOYSA-N	N-(2-CHLORO-4-FLUOROBENZOYL)-N'-(5-HYDROXY-2-METHOXYPHENYL)UREA
XPHFUJAUKJXSRR-PGUFJCEWSA-N	ABT-263
JKEJEOJPJVRHMQ-JTQLQIEISA-N	N-(2-OXOTETRAHYDROFURAN-3-YL)OCTANAMIDE
LEVWYRKDKASIDU-WUCPZUCCSA-N	L-Cystine
OIMACDRJUANHTJ-APSSSFQSSA-N	Bis(Adenosine)-5'-Pentaphosphate
WJOHZNCJWYWUJD-RHWWYLHMSA-N	Fluocinonide
OZWKMVRBQXNZKK-UHFFFAOYSA-N	Ketorolac
KZTBMTNXSWESDD-TYENPDHQSA-N	2-Amino-N,3,3-Trimethylbutanamide
IIZOWFNBOXPJES-SNVBAGLBSA-N	(R)-1-(4-(4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL)BENZYL)GUANIDINE
UFIVEPVSAGBUSI-REOHCLBHSA-N	Orotic Acid
NBKUIKIDZSEPLA-UHFFFAOYSA-J	Calcium Chloride
CDIOIIJXUJXYPB-UHFFFAOYSA-O	1,2,4-Triazole-Carboxamidine
DVAQAGCSCJZEDI-PEJOBZMASA-N	N-({(2S,3S)-3-[(BENZYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINE
LXJXRIRHZLFYRP-UHFFFAOYSA-L	Glyceraldehyde-3-Phosphate
GRSZFWQUAKGDAV-FCIPNVEPSA-N	Inosinic Acid
OZOMQRBLCMDCEG-VIZOYTHASA-N	Dantrolene
ZEGQIPCHQCDGTC-UHFFFAOYSA-N	Voglibose
ONIBWKKTOPOVIA-UHFFFAOYSA-N	D-Proline
BHJAPJNOACHPNI-CHWSQXEVSA-N	5,10-Methylene-6-Hydrofolic Acid
HBUBKKRHXORPQB-NMMORLSWSA-N	Fludarabine
KVZMXOVSHIMGNA-CVEARBPZSA-N	WRR-99
LVIQFABTLWPZEH-PWSUYJOCSA-N	(R)-1-(4-(4-(HYDROXYMETHYL)-1,3,2-DIOXABOROLAN-2-YL)BENZYL)GUANIDINE
NRLIFEGHTNUYFL-VVWMTTOVSA-N	Brasofensine
MINDHVHHQZYEEK-DTQAZKPQSA-N	Mupirocin
WHUUTDBJXJRKMK-QZFAVJRCSA-N	L-Glutamic Acid
LUJVUUWNAPIQQI-XBSBRVCNSA-N	ANDROSTA-1,4-DIENE-3,17-DIONE
NJLYFHQZGXUQAQ-YTFUHCDPSA-N	Aurodox
WHMKAFNJMLEDSN-UHFFFAOYSA-N	4-(Hydroxymethyl)Benzamidine
YXQHWLOTFDERBQ-UHFFFAOYSA-N	Indole
XLXSAKCOAKORKW-UHFFFAOYSA-N	Gonadorelin
XIVCCLMRZUNWRM-CJLPYWAKSA-M	Chlorophyll A
QYFGPQQSJQOGEO-VEVIJQCQSA-N	S-P-Nitrobenzyloxycarbonylglutathione
IZNGFWAJLGCZLC-SIVJFFJCSA-N	Cefaclor
UUFLRMFQCAHBMM-UHFFFAOYSA-N	Biliverdin Ix Gamma Chromophore
NQPDZGIKBAWPEJ-UHFFFAOYSA-N	MYRISTIC ACID
LHLGUOHREUTYTO-UHFFFAOYSA-N	3-(2-aminoquinazolin-6-yl)-1-(3,3-dimethylindolin-6-yl)-4-methylpyridin-2(1H)-one
UKCFUFHREWUXJJ-UHFFFAOYSA-N	METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL](METHYL)AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE
CECSSKSYNCYPBU-UHFFFAOYSA-N	Betaprodine
KPHFGOGGKPGLTM-LKEWCRSYSA-N	3-{2,6,8-Trioxo-9-[(2r,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate
KURCETSKPQIOEM-SQWANPQRSA-N	S-Octylglutathione
CAEFFYSYRJMIGG-UHFFFAOYSA-N	3-(6-Aminopyridin-3-Yl)-N-Methyl-N-[(1-Methyl-1h-Indol-2-Yl)Methyl]Acrylamide
QJJXYPPXXYFBGM-UHFFFAOYSA-N	Tacrolimus
JJQQOJRGUHNREK-STHAYSLISA-N	L-Threonohydroxamate 4-Phosphate
IYZCSUSCOISAKS-JGVFFNPUSA-N	L-D-(a-Aminoadipoyl)-L-Cysteinyl-D-Valine
WXHLLJAMBQLULT-UHFFFAOYSA-N	Dasatinib
IRPYFWIZKIOHQN-XTZHGVARSA-N	Auranofin
AAXVEMMRQDVLJB-UHFFFAOYSA-N	Fludrocortisone
OIIPKTMVZHTWNH-UHFFFAOYSA-N	3-Indolebutyric Acid
VAYOSLLFUXYJDT-RDTXWAMCSA-N	Lysergic Acid Diethylamide
GBXSMTUPTTWBMN-XIRDDKMYSA-N	Enalapril
CIFSQUHCWNFMRI-NOXFTYBFSA-N	Hexanoyl-Coenzyme A
KFPVAOIDTCJSCA-IMIMOHBYSA-L	Bacteriochlorophyll A
VYQNWZOUAUKGHI-UHFFFAOYSA-N	Monobenzone
GBAXRCGGVUWWAR-FXWGLDMBSA-M	Chlorophyll A
SSOXZAQUVINQSA-UHFFFAOYSA-N	Pheniramine
WMEYCLAVMZKZCS-UHFFFAOYSA-N	N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide
YPXGTKHZRCDZTL-KSFOROOFSA-N	Ribulose-5-Phosphate
ZSVLXFAJSWBGGE-HXUWFJFHSA-O	Diundecyl Phosphatidyl Choline
FBOUYBDGKBSUES-VXKWHMMOSA-N	Solifenacin
LUCORKWTQSQFFU-UHFFFAOYSA-N	N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide
ZMWYSLJBNJUCRK-UHFFFAOYSA-N	(4E)-N-(4-fluorophenyl)-4-[(phenylcarbonyl)imino]-4H-pyrazole-3-carboxamide
REPLXGVUTGZQCG-JHNDHUHGSA-N	Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide
LDHQCZJRKDOVOX-UHFFFAOYSA-N	Butenoic Acid
VXYWGTFRKRQDQI-DVYMNCLGSA-N	2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole
HRXJGZJQHHUGOH-YINQFVIBSA-N	Mupirocin
PWOQRKCAHTVFLB-UHFFFAOYSA-N	Cyclophosphamide
BDSPTFQIOAEIII-WOCYNCLHSA-N	Cyprenorphine
JCZLABDVDPYLRZ-AWEZNQCLSA-N	Biphenylalanine
QLEGMDWVGCOMAN-UHFFFAOYSA-N	5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE
XQFRJNBWHJMXHO-BBTBYCSKSA-N	Idoxuridine
HKQSQLIIDRXGLH-KJFJCRTCSA-N	Didanosine
XTDTXHPCMMKAJU-YRMXFSIDSA-O	O-Sialic Acid
AFWZRMNCVXSRLP-XVJCXBTASA-N	2-{1-[2-(2-Amino-Thiazol-4-Yl)-2-Methoxyimino-Acetylamino]-2-Oxo-Ethyl}-5,5-Dimethyl-Thiazolidine-4-Carboxylic Acid
GTEXBOVBADJOQH-DUXPYHPUSA-N	Kava
JBKPUQTUERUYQE-VOTSOKGWSA-O	Pralidoxime
HHJUWIANJFBDHT-ZGNGRSATSA-N	Vindesine
AEMOLEFTQBMNLQ-CLQWQSTFSA-N	L-Iduronic Acid
MYKQBJCZZXEVFW-IHPCNDPISA-N	2-[4-[[(S)-1-[[(S)-2-[[(Rs)-3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl]Aminocarbonyl]Pyrrolidin-1-Yl-]Carbonyl]-2-Methylpropyl]Aminocarbonyl]Benzoylamino]Acetic Acid
OHQMEDBYNUAVNE-UHFFFAOYSA-N	3-[6-bromo-2-fluoro-3-(1H-pyrazolo[3,4-c]pyridazin-3-ylmethyl)phenoxy]-5-chlorobenzonitrile
BPPLIZHQOIGRPZ-UHFFFAOYSA-N	4-({[(4-METHYLPIPERAZIN-1-YL)AMINO]CARBONOTHIOYL}AMINO)BENZENESULFONAMIDE
RQZAXGRLVPAYTJ-UFZHOBIOSA-N	Megestrol acetate
JCBQWVZNUIFFBX-UHFFFAOYSA-N	MYRISTIC ACID
NGTCPFGWXMBZEP-NQQHDEILSA-N	Uridine-5'-Diphosphate-2-Deoxy-2-Fluoro-Alpha-D-Galactose
BVCZEBOGSOYJJT-UHFFFAOYSA-N	Carbamic Acid
YKYXFTPCOSMDSY-XQQFMLRXSA-O	Coenzyme F420
MCTWTZJPVLRJOU-UHFFFAOYSA-O	1-Methylimidazole
